,date,end_id,amount
154,2016-01-04,Cluster 26,502
155,2016-01-04,Cluster 27,111
156,2016-01-04,Cluster 28,31
157,2016-01-04,Cluster 29,7
158,2016-01-04,Cluster 3,544
159,2016-01-04,Cluster 30,34
160,2016-01-04,Cluster 31,46
161,2016-01-04,Cluster 32,66
162,2016-01-04,Cluster 33,55
163,2016-01-04,Cluster 34,59
164,2016-01-04,Cluster 35,21
165,2016-01-04,Cluster 36,27
166,2016-01-04,Cluster 37,38
167,2016-01-04,Cluster 38,36
168,2016-01-04,Cluster 39,74
169,2016-01-04,Cluster 4,774
170,2016-01-04,Cluster 40,2
171,2016-01-04,Cluster 41,4
172,2016-01-04,Cluster 42,7
173,2016-01-04,Cluster 43,2
174,2016-01-04,Cluster 44,8
175,2016-01-04,Cluster 45,819
176,2016-01-04,Cluster 46,3
177,2016-01-04,Cluster 5,1121
178,2016-01-04,Cluster 6,2913
179,2016-01-04,Cluster 7,814
180,2016-01-04,Cluster 8,3138
181,2016-01-04,Cluster 9,559
182,2016-01-05,Cluster 1,710
183,2016-01-05,Cluster 10,87
184,2016-01-05,Cluster 11,148
185,2016-01-05,Cluster 12,167
186,2016-01-05,Cluster 13,113
187,2016-01-05,Cluster 14,300
188,2016-01-05,Cluster 15,358
189,2016-01-05,Cluster 16,11
190,2016-01-05,Cluster 17,160
191,2016-01-05,Cluster 18,391
192,2016-01-05,Cluster 19,138
193,2016-01-05,Cluster 2,793
194,2016-01-05,Cluster 20,106
195,2016-01-05,Cluster 21,431
196,2016-01-05,Cluster 22,154
197,2016-01-05,Cluster 23,149
198,2016-01-05,Cluster 24,43
199,2016-01-05,Cluster 25,1052
200,2016-01-05,Cluster 26,568
201,2016-01-05,Cluster 27,125
202,2016-01-05,Cluster 28,27
203,2016-01-05,Cluster 29,5
204,2016-01-05,Cluster 3,509
205,2016-01-05,Cluster 30,32
206,2016-01-05,Cluster 31,35
207,2016-01-05,Cluster 32,55
208,2016-01-05,Cluster 33,47
209,2016-01-05,Cluster 34,66
210,2016-01-05,Cluster 35,10
211,2016-01-05,Cluster 36,28
212,2016-01-05,Cluster 37,33
213,2016-01-05,Cluster 38,27
214,2016-01-05,Cluster 39,55
215,2016-01-05,Cluster 4,765
216,2016-01-05,Cluster 40,2
217,2016-01-05,Cluster 41,4
218,2016-01-05,Cluster 42,7
219,2016-01-05,Cluster 43,7
220,2016-01-05,Cluster 44,9
221,2016-01-05,Cluster 45,1079
222,2016-01-05,Cluster 46,1
223,2016-01-05,Cluster 5,1148
224,2016-01-05,Cluster 6,3142
225,2016-01-05,Cluster 7,703
226,2016-01-05,Cluster 8,3507
227,2016-01-05,Cluster 9,602
228,2016-01-06,Cluster 1,892
229,2016-01-06,Cluster 10,90
230,2016-01-06,Cluster 11,147
231,2016-01-06,Cluster 12,209
232,2016-01-06,Cluster 13,146
233,2016-01-06,Cluster 14,391
234,2016-01-06,Cluster 15,490
235,2016-01-06,Cluster 16,20
236,2016-01-06,Cluster 17,169
237,2016-01-06,Cluster 18,448
238,2016-01-06,Cluster 19,142
239,2016-01-06,Cluster 2,1000
240,2016-01-06,Cluster 20,115
241,2016-01-06,Cluster 21,526
242,2016-01-06,Cluster 22,171
243,2016-01-06,Cluster 23,186
244,2016-01-06,Cluster 24,45
245,2016-01-06,Cluster 25,1439
246,2016-01-06,Cluster 26,743
247,2016-01-06,Cluster 27,177
248,2016-01-06,Cluster 28,22
249,2016-01-06,Cluster 29,15
250,2016-01-06,Cluster 3,659
251,2016-01-06,Cluster 30,35
252,2016-01-06,Cluster 31,42
253,2016-01-06,Cluster 32,65
254,2016-01-06,Cluster 33,41
255,2016-01-06,Cluster 34,67
256,2016-01-06,Cluster 35,16
257,2016-01-06,Cluster 36,19
258,2016-01-06,Cluster 37,24
259,2016-01-06,Cluster 38,38
260,2016-01-06,Cluster 39,62
261,2016-01-06,Cluster 4,979
262,2016-01-06,Cluster 40,1
263,2016-01-06,Cluster 41,7
264,2016-01-06,Cluster 42,10
265,2016-01-06,Cluster 43,2
266,2016-01-06,Cluster 44,15
