,date,end_id,amount
162,01/03/2015,7.0,1740.0
163,01/03/2015,8.0,6025.0
164,01/03/2015,13.0,3.0
165,01/03/2015,14.0,7.0
166,01/03/2015,16.0,7.0
167,01/03/2015,21.0,10.0
168,01/03/2015,22.0,190.0
169,01/03/2015,24.0,792.0
170,01/03/2015,28.0,1676.0
171,01/03/2015,32.0,1967.0
172,01/03/2015,33.0,523.0
173,01/03/2015,34.0,14.0
174,01/03/2015,35.0,1.0
175,01/03/2015,38.0,3.0
176,01/03/2015,39.0,8.0
177,01/03/2015,41.0,67.0
178,01/03/2015,42.0,3.0
179,01/03/2015,56.0,86.0
180,01/03/2015,76.0,289.0
181,01/03/2015,77.0,39.0
182,01/03/2016,1.0,6.0
183,01/03/2016,3.0,84.0
184,01/03/2016,4.0,5.0
185,01/03/2016,5.0,16.0
186,01/03/2016,6.0,575.0
187,01/03/2016,7.0,682.0
188,01/03/2016,8.0,2952.0
189,01/03/2016,14.0,2.0
190,01/03/2016,16.0,2.0
191,01/03/2016,21.0,13.0
192,01/03/2016,22.0,48.0
193,01/03/2016,23.0,1.0
194,01/03/2016,24.0,323.0
195,01/03/2016,28.0,919.0
196,01/03/2016,31.0,2.0
197,01/03/2016,32.0,1248.0
198,01/03/2016,33.0,461.0
199,01/03/2016,34.0,5.0
200,01/03/2016,35.0,2.0
201,01/03/2016,41.0,48.0
202,01/03/2016,42.0,18.0
203,01/03/2016,56.0,92.0
204,01/03/2016,76.0,265.0
205,01/03/2016,77.0,20.0
206,01/03/2017,1.0,1.0
207,01/03/2017,3.0,10.0
208,01/03/2017,4.0,2.0
209,01/03/2017,5.0,1.0
210,01/03/2017,6.0,71.0
211,01/03/2017,7.0,170.0
212,01/03/2017,8.0,2018.0
213,01/03/2017,14.0,2.0
214,01/03/2017,21.0,1.0
215,01/03/2017,22.0,2.0
216,01/03/2017,24.0,70.0
217,01/03/2017,28.0,763.0
218,01/03/2017,32.0,1845.0
219,01/03/2017,33.0,148.0
220,01/03/2017,34.0,8.0
221,01/03/2017,36.0,1.0
222,01/03/2017,41.0,7.0
223,01/03/2017,56.0,30.0
224,01/03/2017,76.0,136.0
225,01/03/2017,77.0,5.0
226,01/04/2015,1.0,15.0
227,01/04/2015,3.0,215.0
228,01/04/2015,4.0,39.0
229,01/04/2015,5.0,39.0
230,01/04/2015,6.0,1297.0
231,01/04/2015,7.0,1362.0
232,01/04/2015,8.0,4153.0
233,01/04/2015,13.0,1.0
234,01/04/2015,14.0,9.0
235,01/04/2015,16.0,2.0
236,01/04/2015,21.0,15.0
237,01/04/2015,22.0,151.0
238,01/04/2015,23.0,2.0
239,01/04/2015,24.0,686.0
240,01/04/2015,28.0,1265.0
241,01/04/2015,31.0,2.0
242,01/04/2015,32.0,1477.0
243,01/04/2015,33.0,303.0
244,01/04/2015,34.0,7.0
245,01/04/2015,41.0,98.0
246,01/04/2015,42.0,29.0
247,01/04/2015,56.0,130.0
248,01/04/2015,76.0,340.0
249,01/04/2015,77.0,60.0
250,01/04/2016,1.0,11.0
251,01/04/2016,2.0,4.0
252,01/04/2016,3.0,45.0
253,01/04/2016,4.0,9.0
254,01/04/2016,5.0,9.0
255,01/04/2016,6.0,267.0
256,01/04/2016,7.0,410.0
257,01/04/2016,8.0,3500.0
258,01/04/2016,11.0,3.0
259,01/04/2016,21.0,3.0
260,01/04/2016,22.0,9.0
261,01/04/2016,24.0,188.0
262,01/04/2016,28.0,1327.0
263,01/04/2016,32.0,3158.0
264,01/04/2016,33.0,251.0
265,01/04/2016,34.0,3.0
266,01/04/2016,35.0,1.0
267,01/04/2016,39.0,4.0
268,01/04/2016,41.0,12.0
269,01/04/2016,56.0,94.0
270,01/04/2016,57.0,1.0
271,01/04/2016,76.0,382.0
272,01/04/2016,77.0,11.0
273,01/04/2017,1.0,3.0
274,01/04/2017,3.0,13.0
275,01/04/2017,4.0,1.0
276,01/04/2017,5.0,5.0
277,01/04/2017,6.0,86.0
278,01/04/2017,7.0,214.0
279,01/04/2017,8.0,2885.0
280,01/04/2017,16.0,2.0
281,01/04/2017,21.0,3.0
282,01/04/2017,22.0,4.0
283,01/04/2017,24.0,108.0
284,01/04/2017,28.0,1026.0
285,01/04/2017,31.0,3.0
286,01/04/2017,32.0,2592.0
287,01/04/2017,33.0,163.0
288,01/04/2017,41.0,6.0
289,01/04/2017,56.0,40.0
290,01/04/2017,59.0,1.0
291,01/04/2017,76.0,124.0
292,01/04/2017,77.0,2.0
293,01/05/2015,1.0,3.0
294,01/05/2015,2.0,3.0
295,01/05/2015,3.0,110.0
296,01/05/2015,4.0,17.0
297,01/05/2015,5.0,17.0
298,01/05/2015,6.0,479.0
299,01/05/2015,7.0,721.0
300,01/05/2015,8.0,5061.0
301,01/05/2015,13.0,1.0
302,01/05/2015,16.0,2.0
303,01/05/2015,21.0,4.0
304,01/05/2015,22.0,33.0
305,01/05/2015,24.0,352.0
306,01/05/2015,28.0,2308.0
307,01/05/2015,31.0,6.0
308,01/05/2015,32.0,4626.0
309,01/05/2015,33.0,333.0
310,01/05/2015,34.0,14.0
311,01/05/2015,35.0,7.0
312,01/05/2015,39.0,7.0
313,01/05/2015,41.0,42.0
314,01/05/2015,56.0,209.0
315,01/05/2015,59.0,2.0
316,01/05/2015,60.0,1.0
317,01/05/2015,76.0,508.0
318,01/05/2015,77.0,24.0
319,01/05/2016,1.0,3.0
320,01/05/2016,2.0,2.0
321,01/05/2016,3.0,51.0
322,01/05/2016,4.0,5.0
323,01/05/2016,5.0,24.0
324,01/05/2016,6.0,316.0
325,01/05/2016,7.0,479.0
326,01/05/2016,8.0,4022.0
327,01/05/2016,12.0,1.0
328,01/05/2016,21.0,4.0
329,01/05/2016,22.0,23.0
330,01/05/2016,24.0,261.0
331,01/05/2016,27.0,1.0
332,01/05/2016,28.0,1663.0
333,01/05/2016,31.0,1.0
334,01/05/2016,32.0,3780.0
335,01/05/2016,33.0,268.0
336,01/05/2016,34.0,9.0
337,01/05/2016,35.0,5.0
338,01/05/2016,39.0,3.0
339,01/05/2016,41.0,14.0
340,01/05/2016,56.0,98.0
341,01/05/2016,76.0,343.0
342,01/05/2016,77.0,29.0
343,01/05/2017,3.0,23.0
344,01/05/2017,4.0,1.0
345,01/05/2017,5.0,8.0
346,01/05/2017,6.0,148.0
347,01/05/2017,7.0,307.0
348,01/05/2017,8.0,3438.0
349,01/05/2017,10.0,1.0
350,01/05/2017,22.0,18.0
351,01/05/2017,24.0,122.0
352,01/05/2017,28.0,1262.0
353,01/05/2017,32.0,3228.0
354,01/05/2017,33.0,195.0
355,01/05/2017,39.0,3.0
356,01/05/2017,41.0,6.0
357,01/05/2017,56.0,57.0
358,01/05/2017,76.0,210.0
359,01/05/2017,77.0,4.0
360,01/06/2015,1.0,5.0
361,01/06/2015,2.0,2.0
362,01/06/2015,3.0,145.0
363,01/06/2015,4.0,20.0
364,01/06/2015,5.0,38.0
365,01/06/2015,6.0,628.0
366,01/06/2015,7.0,826.0
367,01/06/2015,8.0,5684.0
368,01/06/2015,9.0,1.0
369,01/06/2015,14.0,4.0
370,01/06/2015,15.0,1.0
371,01/06/2015,16.0,3.0
372,01/06/2015,21.0,6.0
373,01/06/2015,22.0,59.0
374,01/06/2015,24.0,456.0
375,01/06/2015,28.0,2635.0
376,01/06/2015,31.0,4.0
377,01/06/2015,32.0,4971.0
378,01/06/2015,33.0,332.0
379,01/06/2015,34.0,12.0
380,01/06/2015,35.0,5.0
381,01/06/2015,39.0,3.0
382,01/06/2015,41.0,59.0
383,01/06/2015,56.0,151.0
384,01/06/2015,59.0,1.0
385,01/06/2015,76.0,486.0
386,01/06/2015,77.0,26.0
387,01/06/2016,1.0,2.0
388,01/06/2016,2.0,5.0
389,01/06/2016,3.0,64.0
390,01/06/2016,4.0,19.0
391,01/06/2016,5.0,13.0
392,01/06/2016,6.0,346.0
393,01/06/2016,7.0,574.0
394,01/06/2016,8.0,4330.0
395,01/06/2016,21.0,5.0
396,01/06/2016,22.0,35.0
397,01/06/2016,23.0,2.0
398,01/06/2016,24.0,287.0
399,01/06/2016,28.0,1960.0
400,01/06/2016,32.0,4027.0
401,01/06/2016,33.0,272.0
402,01/06/2016,34.0,6.0
403,01/06/2016,35.0,1.0
404,01/06/2016,39.0,3.0
405,01/06/2016,41.0,21.0
406,01/06/2016,56.0,151.0
407,01/06/2016,59.0,1.0
408,01/06/2016,76.0,366.0
409,01/06/2016,77.0,14.0
410,01/06/2017,3.0,27.0
411,01/06/2017,4.0,2.0
412,01/06/2017,5.0,6.0
413,01/06/2017,6.0,133.0
414,01/06/2017,7.0,336.0
415,01/06/2017,8.0,3861.0
416,01/06/2017,21.0,3.0
417,01/06/2017,22.0,16.0
418,01/06/2017,24.0,185.0
419,01/06/2017,28.0,1449.0
420,01/06/2017,31.0,1.0
421,01/06/2017,32.0,3369.0
422,01/06/2017,33.0,228.0
423,01/06/2017,34.0,9.0
424,01/06/2017,39.0,1.0
425,01/06/2017,41.0,6.0
426,01/06/2017,56.0,72.0
427,01/06/2017,76.0,237.0
428,01/06/2017,77.0,4.0
429,01/07/2015,1.0,3.0
430,01/07/2015,3.0,113.0
431,01/07/2015,4.0,24.0
432,01/07/2015,5.0,25.0
433,01/07/2015,6.0,634.0
434,01/07/2015,7.0,801.0
435,01/07/2015,8.0,5662.0
436,01/07/2015,16.0,4.0
437,01/07/2015,21.0,5.0
438,01/07/2015,22.0,73.0
439,01/07/2015,24.0,385.0
440,01/07/2015,28.0,2388.0
441,01/07/2015,30.0,1.0
442,01/07/2015,31.0,7.0
443,01/07/2015,32.0,4978.0
444,01/07/2015,33.0,332.0
445,01/07/2015,34.0,13.0
446,01/07/2015,35.0,3.0
447,01/07/2015,39.0,2.0
448,01/07/2015,41.0,36.0
449,01/07/2015,56.0,209.0
450,01/07/2015,76.0,532.0
451,01/07/2015,77.0,23.0
452,01/07/2016,1.0,3.0
453,01/07/2016,3.0,73.0
454,01/07/2016,4.0,15.0
455,01/07/2016,5.0,31.0
456,01/07/2016,6.0,508.0
457,01/07/2016,7.0,713.0
458,01/07/2016,8.0,4644.0
459,01/07/2016,14.0,1.0
460,01/07/2016,16.0,2.0
461,01/07/2016,21.0,4.0
462,01/07/2016,22.0,56.0
463,01/07/2016,24.0,362.0
464,01/07/2016,28.0,2014.0
465,01/07/2016,29.0,3.0
466,01/07/2016,32.0,3931.0
467,01/07/2016,33.0,288.0
468,01/07/2016,34.0,7.0
469,01/07/2016,39.0,3.0
470,01/07/2016,41.0,9.0
471,01/07/2016,56.0,148.0
472,01/07/2016,59.0,1.0
473,01/07/2016,76.0,493.0
474,01/07/2016,77.0,16.0
475,01/07/2017,3.0,17.0
476,01/07/2017,4.0,2.0
477,01/07/2017,5.0,3.0
478,01/07/2017,6.0,144.0
479,01/07/2017,7.0,252.0
480,01/07/2017,8.0,2788.0
481,01/07/2017,16.0,2.0
482,01/07/2017,21.0,4.0
483,01/07/2017,22.0,8.0
484,01/07/2017,24.0,130.0
485,01/07/2017,28.0,618.0
486,01/07/2017,32.0,1400.0
487,01/07/2017,33.0,206.0
488,01/07/2017,34.0,8.0
489,01/07/2017,35.0,2.0
490,01/07/2017,41.0,10.0
491,01/07/2017,56.0,23.0
492,01/07/2017,76.0,142.0
493,01/07/2017,77.0,3.0
494,01/08/2015,1.0,3.0
495,01/08/2015,3.0,154.0
496,01/08/2015,4.0,29.0
497,01/08/2015,5.0,25.0
498,01/08/2015,6.0,784.0
499,01/08/2015,7.0,949.0
500,01/08/2015,8.0,6286.0
501,01/08/2015,14.0,1.0
502,01/08/2015,16.0,2.0
503,01/08/2015,21.0,5.0
504,01/08/2015,22.0,72.0
505,01/08/2015,24.0,538.0
506,01/08/2015,28.0,2623.0
507,01/08/2015,31.0,2.0
508,01/08/2015,32.0,5661.0
509,01/08/2015,33.0,377.0
510,01/08/2015,34.0,14.0
511,01/08/2015,35.0,2.0
512,01/08/2015,39.0,5.0
513,01/08/2015,41.0,33.0
514,01/08/2015,56.0,188.0
515,01/08/2015,73.0,1.0
516,01/08/2015,76.0,605.0
517,01/08/2015,77.0,31.0
518,01/08/2016,1.0,3.0
519,01/08/2016,2.0,2.0
520,01/08/2016,3.0,122.0
521,01/08/2016,4.0,17.0
522,01/08/2016,5.0,32.0
523,01/08/2016,6.0,664.0
524,01/08/2016,7.0,914.0
525,01/08/2016,8.0,5789.0
526,01/08/2016,14.0,1.0
527,01/08/2016,16.0,2.0
528,01/08/2016,21.0,8.0
529,01/08/2016,22.0,91.0
530,01/08/2016,24.0,520.0
531,01/08/2016,28.0,2544.0
532,01/08/2016,31.0,8.0
533,01/08/2016,32.0,4397.0
534,01/08/2016,33.0,314.0
