,date,start_id,amount
154,2016-01-04,Cluster 25,1609
155,2016-01-04,Cluster 26,278
156,2016-01-04,Cluster 27,65
157,2016-01-04,Cluster 28,18
158,2016-01-04,Cluster 29,3
159,2016-01-04,Cluster 3,570
160,2016-01-04,Cluster 30,21
161,2016-01-04,Cluster 31,36
162,2016-01-04,Cluster 32,51
163,2016-01-04,Cluster 33,31
164,2016-01-04,Cluster 34,39
165,2016-01-04,Cluster 35,8
166,2016-01-04,Cluster 36,17
167,2016-01-04,Cluster 37,19
168,2016-01-04,Cluster 38,28
169,2016-01-04,Cluster 39,41
170,2016-01-04,Cluster 4,695
171,2016-01-04,Cluster 40,4
172,2016-01-04,Cluster 41,2
173,2016-01-04,Cluster 42,2
174,2016-01-04,Cluster 43,1
175,2016-01-04,Cluster 44,4
176,2016-01-04,Cluster 45,1109
177,2016-01-04,Cluster 46,2
178,2016-01-04,Cluster 5,1184
179,2016-01-04,Cluster 6,3366
180,2016-01-04,Cluster 7,712
181,2016-01-04,Cluster 8,3752
182,2016-01-04,Cluster 9,433
183,2016-01-05,Cluster 1,583
184,2016-01-05,Cluster 10,45
185,2016-01-05,Cluster 11,84
186,2016-01-05,Cluster 12,130
187,2016-01-05,Cluster 13,39
188,2016-01-05,Cluster 14,184
189,2016-01-05,Cluster 15,288
190,2016-01-05,Cluster 16,7
191,2016-01-05,Cluster 17,91
192,2016-01-05,Cluster 18,261
193,2016-01-05,Cluster 19,239
194,2016-01-05,Cluster 2,752
195,2016-01-05,Cluster 20,51
196,2016-01-05,Cluster 21,253
197,2016-01-05,Cluster 22,82
198,2016-01-05,Cluster 23,83
199,2016-01-05,Cluster 24,29
200,2016-01-05,Cluster 25,1276
201,2016-01-05,Cluster 26,366
202,2016-01-05,Cluster 27,86
203,2016-01-05,Cluster 28,9
204,2016-01-05,Cluster 29,3
205,2016-01-05,Cluster 3,524
206,2016-01-05,Cluster 30,23
207,2016-01-05,Cluster 31,23
208,2016-01-05,Cluster 32,29
209,2016-01-05,Cluster 33,35
210,2016-01-05,Cluster 34,41
211,2016-01-05,Cluster 35,8
212,2016-01-05,Cluster 36,14
213,2016-01-05,Cluster 37,15
214,2016-01-05,Cluster 38,32
215,2016-01-05,Cluster 39,33
216,2016-01-05,Cluster 4,683
217,2016-01-05,Cluster 40,4
218,2016-01-05,Cluster 41,3
219,2016-01-05,Cluster 42,2
220,2016-01-05,Cluster 43,1
221,2016-01-05,Cluster 44,4
222,2016-01-05,Cluster 45,1269
223,2016-01-05,Cluster 46,2
224,2016-01-05,Cluster 5,1191
225,2016-01-05,Cluster 6,3711
226,2016-01-05,Cluster 7,637
227,2016-01-05,Cluster 8,4167
228,2016-01-05,Cluster 9,517
229,2016-01-06,Cluster 1,708
230,2016-01-06,Cluster 10,47
231,2016-01-06,Cluster 11,105
232,2016-01-06,Cluster 12,159
233,2016-01-06,Cluster 13,40
234,2016-01-06,Cluster 14,210
235,2016-01-06,Cluster 15,399
236,2016-01-06,Cluster 16,12
237,2016-01-06,Cluster 17,120
238,2016-01-06,Cluster 18,289
239,2016-01-06,Cluster 19,242
240,2016-01-06,Cluster 2,824
241,2016-01-06,Cluster 20,50
242,2016-01-06,Cluster 21,242
243,2016-01-06,Cluster 22,96
244,2016-01-06,Cluster 23,125
245,2016-01-06,Cluster 24,26
246,2016-01-06,Cluster 25,1692
247,2016-01-06,Cluster 26,475
248,2016-01-06,Cluster 27,113
249,2016-01-06,Cluster 28,12
250,2016-01-06,Cluster 29,5
251,2016-01-06,Cluster 3,692
252,2016-01-06,Cluster 30,27
253,2016-01-06,Cluster 31,27
254,2016-01-06,Cluster 32,35
255,2016-01-06,Cluster 33,35
256,2016-01-06,Cluster 34,32
257,2016-01-06,Cluster 35,4
258,2016-01-06,Cluster 36,15
259,2016-01-06,Cluster 37,20
260,2016-01-06,Cluster 38,29
261,2016-01-06,Cluster 39,49
262,2016-01-06,Cluster 4,903
263,2016-01-06,Cluster 40,2
264,2016-01-06,Cluster 41,3
265,2016-01-06,Cluster 42,6
266,2016-01-06,Cluster 43,3
267,2016-01-06,Cluster 44,7
268,2016-01-06,Cluster 45,1610
269,2016-01-06,Cluster 46,1
270,2016-01-06,Cluster 5,1584
271,2016-01-06,Cluster 6,4656
272,2016-01-06,Cluster 7,749
273,2016-01-06,Cluster 8,5402
274,2016-01-06,Cluster 9,795
275,2016-01-07,Cluster 1,835
276,2016-01-07,Cluster 10,46
277,2016-01-07,Cluster 11,124
278,2016-01-07,Cluster 12,162
279,2016-01-07,Cluster 13,46
280,2016-01-07,Cluster 14,275
281,2016-01-07,Cluster 15,487
282,2016-01-07,Cluster 16,9
283,2016-01-07,Cluster 17,105
284,2016-01-07,Cluster 18,336
285,2016-01-07,Cluster 19,243
286,2016-01-07,Cluster 2,879
