amount,Type,date,TimeSeries,CommPCA,CommAutoEncoder,InOutFlowAutoEncoder,InOutFlowPCA,Comm,city
2143600.0,,2017-04-11,False,False,False,False,False,False,Taipei
2179344.0,,2017-04-12,False,False,False,False,False,False,Taipei
2179028.0,,2017-04-13,False,False,False,False,False,False,Taipei
2359435.0,,2017-04-14,False,False,False,True,False,False,Taipei
2059726.0,,2017-04-15,False,False,True,False,False,True,Taipei
1728420.0,,2017-04-16,False,False,True,False,False,True,Taipei
2047490.0,,2017-04-17,False,False,False,False,False,False,Taipei
2085030.0,,2017-04-18,False,False,False,False,False,False,Taipei
2137678.0,,2017-04-19,False,False,False,False,False,False,Taipei
2144884.0,,2017-04-20,False,False,False,False,False,False,Taipei
2363327.0,,2017-04-21,False,False,False,False,False,False,Taipei
2016698.0,,2017-04-22,False,False,False,True,False,True,Taipei
1752678.0,,2017-04-23,False,False,False,False,False,True,Taipei
2049638.0,,2017-04-24,False,False,False,False,False,False,Taipei
2094457.0,,2017-04-25,False,False,False,False,False,False,Taipei
2114255.0,,2017-04-26,False,False,False,False,False,False,Taipei
2155402.0,,2017-04-27,False,False,False,False,False,False,Taipei
2359528.0,,2017-04-28,False,False,False,True,False,False,Taipei
2027977.0,,2017-04-29,False,False,True,True,True,True,Taipei
1796867.0,,2017-04-30,False,False,True,False,False,True,Taipei
1764762.0,National Holiday,2017-05-01,True,True,True,True,True,True,Taipei
2077880.0,,2017-05-02,False,False,False,False,False,False,Taipei
2140895.0,,2017-05-03,False,False,False,False,False,False,Taipei
2150702.0,,2017-05-04,False,False,False,False,False,False,Taipei
2350411.0,,2017-05-05,False,False,False,False,False,False,Taipei
1984044.0,,2017-05-06,False,False,False,True,False,True,Taipei
1746179.0,,2017-05-07,False,False,False,False,False,True,Taipei
2054209.0,,2017-05-08,False,False,False,False,False,False,Taipei
2087131.0,,2017-05-09,False,False,False,False,False,False,Taipei
2115085.0,,2017-05-10,False,False,False,False,False,False,Taipei
