,Component,Date,Value
141,Component14,2017-01-09,0.04654044
142,Component15,2017-01-09,-2.0748088
143,Component16,2017-01-09,0.45653176
144,Component1,2017-01-10,0.25447807
145,Component2,2017-01-10,0.5075032
146,Component3,2017-01-10,0.27155754
147,Component4,2017-01-10,0.5535385
148,Component5,2017-01-10,-0.19779028
149,Component6,2017-01-10,0.11332433
150,Component7,2017-01-10,0.5993734000000001
151,Component8,2017-01-10,0.3239842
152,Component9,2017-01-10,0.4503536
153,Component10,2017-01-10,-0.6983600999999999
154,Component11,2017-01-10,-0.1584475
155,Component12,2017-01-10,0.2176248
156,Component13,2017-01-10,-0.43493426
157,Component14,2017-01-10,-0.29139224
158,Component15,2017-01-10,-1.6362219
159,Component16,2017-01-10,0.32485077
160,Component1,2017-01-11,0.43636793
161,Component2,2017-01-11,0.5927554
162,Component3,2017-01-11,-0.28215328
163,Component4,2017-01-11,0.34506172
164,Component5,2017-01-11,-0.32217646
165,Component6,2017-01-11,-0.07981576
166,Component7,2017-01-11,0.57602787
167,Component8,2017-01-11,0.5175902
168,Component9,2017-01-11,-0.20459262
169,Component10,2017-01-11,-0.18612719
170,Component11,2017-01-11,-0.3985174
171,Component12,2017-01-11,0.10795037
172,Component13,2017-01-11,-0.42006534
173,Component14,2017-01-11,-0.085416764
174,Component15,2017-01-11,-1.3774146999999999
175,Component16,2017-01-11,0.46958044
176,Component1,2017-01-12,0.2422998
177,Component2,2017-01-12,0.50482535
178,Component3,2017-01-12,0.21953905
179,Component4,2017-01-12,0.48785785
180,Component5,2017-01-12,-0.13197763
181,Component6,2017-01-12,-0.07838768
182,Component7,2017-01-12,0.60110766
183,Component8,2017-01-12,0.3569021
184,Component9,2017-01-12,0.40717304
185,Component10,2017-01-12,-0.25277597
186,Component11,2017-01-12,-0.2900225
187,Component12,2017-01-12,-0.09509885
188,Component13,2017-01-12,-0.31530252
189,Component14,2017-01-12,0.0741637
190,Component15,2017-01-12,-1.5805023999999999
191,Component16,2017-01-12,0.3754269
192,Component1,2017-01-13,0.22369234
193,Component2,2017-01-13,0.568484
194,Component3,2017-01-13,-0.20912519
195,Component4,2017-01-13,0.09928853
196,Component5,2017-01-13,-0.017680762
197,Component6,2017-01-13,-0.524997
198,Component7,2017-01-13,0.6060217
199,Component8,2017-01-13,0.34108475
200,Component9,2017-01-13,-0.17292415
201,Component10,2017-01-13,-0.50609326
202,Component11,2017-01-13,-0.3133259
203,Component12,2017-01-13,0.26009145
204,Component13,2017-01-13,-0.41264522
205,Component14,2017-01-13,0.006956286999999999
206,Component15,2017-01-13,-1.4682366000000002
207,Component16,2017-01-13,0.5345628000000001
208,Component1,2017-01-14,0.14289078
209,Component2,2017-01-14,0.4699772
210,Component3,2017-01-14,0.3433033
