,Component,Date,Value
137,Component10,2016-01-09,-1.3678606000000002
138,Component11,2016-01-09,0.13402782
139,Component12,2016-01-09,0.1559333
140,Component13,2016-01-09,0.47783068
141,Component14,2016-01-09,-0.31454299999999996
142,Component15,2016-01-09,0.058661606
143,Component16,2016-01-09,-0.24364603
144,Component1,2016-01-10,-0.9192111999999999
145,Component2,2016-01-10,-0.25013953
146,Component3,2016-01-10,0.44231159999999997
147,Component4,2016-01-10,0.32471153
148,Component5,2016-01-10,-1.6471503
149,Component6,2016-01-10,0.33211799999999997
150,Component7,2016-01-10,-1.5364132
151,Component8,2016-01-10,-0.96242434
152,Component9,2016-01-10,0.6065556
153,Component10,2016-01-10,-1.7308881999999999
154,Component11,2016-01-10,-0.38693374
155,Component12,2016-01-10,0.4671552
156,Component13,2016-01-10,0.08154574
157,Component14,2016-01-10,-0.15802878
158,Component15,2016-01-10,0.48078805
159,Component16,2016-01-10,-0.22869553
160,Component1,2016-01-11,-1.5899944
161,Component2,2016-01-11,-0.14917429
162,Component3,2016-01-11,-0.9142895000000001
163,Component4,2016-01-11,-0.15473852
164,Component5,2016-01-11,-0.77085644
165,Component6,2016-01-11,-0.7571985999999999
166,Component7,2016-01-11,-1.3963609
167,Component8,2016-01-11,-0.29361609999999994
168,Component9,2016-01-11,0.06438310400000001
169,Component10,2016-01-11,-0.35928437
170,Component11,2016-01-11,-0.2249591
171,Component12,2016-01-11,0.37805900000000003
172,Component13,2016-01-11,-0.50058573
173,Component14,2016-01-11,-0.8006068000000001
174,Component15,2016-01-11,-0.41960368
175,Component16,2016-01-11,-0.34303156
176,Component1,2016-01-12,-0.9771561
177,Component2,2016-01-12,-0.45560340000000005
178,Component3,2016-01-12,0.060039345
179,Component4,2016-01-12,-0.20333451
180,Component5,2016-01-12,0.04246649
181,Component6,2016-01-12,-0.2520796
182,Component7,2016-01-12,-0.3001145
183,Component8,2016-01-12,-1.1399457
184,Component9,2016-01-12,0.49007428
185,Component10,2016-01-12,-0.17143485
186,Component11,2016-01-12,-0.5238166
187,Component12,2016-01-12,-0.43144679999999996
188,Component13,2016-01-12,-0.20927662
189,Component14,2016-01-12,-1.0535113999999999
190,Component15,2016-01-12,-0.1488555
191,Component16,2016-01-12,-1.526773
192,Component1,2016-01-13,-1.2986909
193,Component2,2016-01-13,-0.6734691999999999
194,Component3,2016-01-13,-0.6574549
195,Component4,2016-01-13,0.055633333
196,Component5,2016-01-13,0.06400389
197,Component6,2016-01-13,-0.38732508
198,Component7,2016-01-13,-0.77089566
199,Component8,2016-01-13,-0.92785877
200,Component9,2016-01-13,0.2629601
201,Component10,2016-01-13,0.33781940000000005
202,Component11,2016-01-13,-1.1833446
203,Component12,2016-01-13,0.14776483
204,Component13,2016-01-13,-0.14258110000000002
205,Component14,2016-01-13,-0.14749692
206,Component15,2016-01-13,-0.35423568
207,Component16,2016-01-13,-1.4460348
208,Component1,2016-01-14,-0.52588284
209,Component2,2016-01-14,-1.4494236999999999
210,Component3,2016-01-14,-0.25520664
211,Component4,2016-01-14,0.20312205
212,Component5,2016-01-14,-0.61455417
213,Component6,2016-01-14,-0.7568674
214,Component7,2016-01-14,-1.2431046000000001
215,Component8,2016-01-14,-0.67844427
216,Component9,2016-01-14,0.32007125
217,Component10,2016-01-14,-0.14231588
218,Component11,2016-01-14,-1.3735207
219,Component12,2016-01-14,-0.29626065
220,Component13,2016-01-14,-0.61203784
221,Component14,2016-01-14,-1.3075954
222,Component15,2016-01-14,-0.37465176
223,Component16,2016-01-14,-1.0704278
224,Component1,2016-01-15,-0.04943662
225,Component2,2016-01-15,0.061765127
226,Component3,2016-01-15,0.5129037000000001
227,Component4,2016-01-15,-1.3132955
228,Component5,2016-01-15,-1.3798407
229,Component6,2016-01-15,-0.9669264000000001
230,Component7,2016-01-15,-0.42814037
231,Component8,2016-01-15,-1.0774196000000003
232,Component9,2016-01-15,0.5045583
233,Component10,2016-01-15,-0.19874269
234,Component11,2016-01-15,0.14514768
235,Component12,2016-01-15,0.017548768
236,Component13,2016-01-15,0.47609255
237,Component14,2016-01-15,-0.9586245999999999
238,Component15,2016-01-15,-0.55061585
239,Component16,2016-01-15,0.035153914
240,Component1,2016-01-16,-0.85966814
241,Component2,2016-01-16,0.06665528
242,Component3,2016-01-16,-0.38883382
243,Component4,2016-01-16,0.15793383
244,Component5,2016-01-16,-1.2507569
245,Component6,2016-01-16,-1.3981407
246,Component7,2016-01-16,-1.157001
247,Component8,2016-01-16,-0.5622659000000001
248,Component9,2016-01-16,0.40259409999999995
249,Component10,2016-01-16,-0.5974834
250,Component11,2016-01-16,-0.83538073
251,Component12,2016-01-16,0.21279277
252,Component13,2016-01-16,0.37245062
253,Component14,2016-01-16,-0.41242984
254,Component15,2016-01-16,-0.44460917
255,Component16,2016-01-16,-0.008404606
256,Component1,2016-01-17,-0.7653578000000001
257,Component2,2016-01-17,-0.16232818
258,Component3,2016-01-17,0.49597567
259,Component4,2016-01-17,-0.049663477000000004
260,Component5,2016-01-17,-0.8123735
261,Component6,2016-01-17,-0.023278267999999998
262,Component7,2016-01-17,-0.56349486
263,Component8,2016-01-17,-2.0077915
264,Component9,2016-01-17,0.62100923
265,Component10,2016-01-17,-0.41319522
266,Component11,2016-01-17,-0.7843704
267,Component12,2016-01-17,0.24316314
268,Component13,2016-01-17,0.5065335
269,Component14,2016-01-17,0.06495579
270,Component15,2016-01-17,0.2842235
271,Component16,2016-01-17,-0.79405487
272,Component1,2016-01-18,-1.4305255
273,Component2,2016-01-18,0.029677745
274,Component3,2016-01-18,0.30968073
275,Component4,2016-01-18,-1.1002983999999998
276,Component5,2016-01-18,-1.5296925
277,Component6,2016-01-18,0.081666596
278,Component7,2016-01-18,-1.4002849
279,Component8,2016-01-18,-0.9749431999999999
280,Component9,2016-01-18,0.40970013
281,Component10,2016-01-18,-0.56686485
282,Component11,2016-01-18,0.364383
283,Component12,2016-01-18,0.5799116
284,Component13,2016-01-18,-0.062913574
285,Component14,2016-01-18,-0.41241923
286,Component15,2016-01-18,0.12754421
287,Component16,2016-01-18,-0.12933329
288,Component1,2016-01-19,-1.7978917
289,Component2,2016-01-19,0.21547645
290,Component3,2016-01-19,-1.5349267
291,Component4,2016-01-19,0.19307779999999997
292,Component5,2016-01-19,0.2689448
293,Component6,2016-01-19,-0.5406093000000001
294,Component7,2016-01-19,-0.44751490000000005
295,Component8,2016-01-19,-0.030319331
296,Component9,2016-01-19,0.18782789
297,Component10,2016-01-19,-0.27342
298,Component11,2016-01-19,-0.33833563
